tweet,location
"Got my @CopperTopMasks with me every where I go!
covid_care_force #covid19 #pandemic #virus #antibacterial #copper @ Louisville, Kentucky https://t.co/OU0dNCmhbO",Kentucky
"❗️Lineup addition ❗️ paulcauthen  is joining the Peacemaker family. 😎🔥 Get your tickets now at https://t.co/gIKSYrQSSc 
_
More information about our Covid Safety plans will be posted this week here and on… https://t.co/2BsYUS3tCX",Arkansas
"#Repost @calendow with @get_repost
・・・
Racism is a public health emergency.

#Covid19 is a public health emergency.

When going out to make your voice heard about one, don't forget that the current pandemic is… https://t.co/YL76fh6rl8",California
President Trump Retweets Fox News Interview About New Harvard Study Showing Wuhan Coronavirus Began Much Sooner Than China Revealed https://t.co/yt9kcRgyB6 https://t.co/1LPYelMUCi,Oregon
It will be their new Benghazi. https://t.co/b6SzKXYuAI,Washington
https://t.co/q1bIRBjDj8 Austin Public Health leaders are holding their weekly virtual question-and-answer session on COVID-19 Wednesday at 10:30 a.m. https://t.co/UqqP5HPxIm #atx #austin #all512,Texas
#Single #Coronavirus #Covid19 How single people are dealing with the 'sex ban' in England https://t.co/4t8WHLOI44 https://t.co/6q1O1nw77E,Florida
"#actions #options #choices #losangeles #peaceful #safetyfirst #covid19 #blacklivesmatter #amplifymelanatedvoices #change #marathon @ Los Angeles, California https://t.co/NkuPacqQmZ",California
"My fav place outside Boston-deserted, quiet, such different energy during #covid19 ""New normal"" will bring many changes...an opportunity to create something amazing.  
  #beach #nantasketbeach #tranquility #deserted #socialdistancing #quarantinelife  #photography #minimalism https://t.co/HvnHT18Gdo",Massachusetts
Life on the Sharkway in the Age of Coronavirus. Ready to pick up the Times. @ Windsor Terrace https://t.co/P2vNMD5YD4,New York
Life on the Sharkway in the Age of Coronavirus. Windsor Terrace Brooklyn. @ Windsor Terrace https://t.co/JnUBO8zlxc,New York
Life on the Sharkway in the Age of Coronavirus. @ Windsor Terrace https://t.co/dXbrPmvsLm,New York
"The pandemic put this little ceremony on hold for jackanderson_22. The recruiting process what a bit of a circuitous route for him, but glad he found a home at cnubaseball. @ AG Performance https://t.co/031wDChlaC",Virginia
"Curious to see if you’ve been previously exposed to COVID-19? 
Stop in to any MyHealth Urgent Care location to get tested today. We are offering multiple testing options including serology as well as nasal… https://t.co/lvA6UZh3WB",Michigan
Our Response to COVID 19  https://t.co/3p50hdjvA7,Ohio
"When this pandemic is over and we’re able to...hugs all around!! #FreeHugs #Olaf #Frozen #Frozen2 #ILikeWarmHugs #Disney @ New Haven, Michigan https://t.co/aj6IrCssM6",Michigan
"Curious to see if you’ve been previously exposed to COVID-19? 
Stop in to any MyHealth Urgent Care location to get tested today. We are offering multiple testing options including serology as well as nasal pharyngeal… https://t.co/wLyt6RmNpr",Michigan
We wear our masks because we care about you. Do you care about us? Covid-19 is very real and still here - summer didn’t make it magically go away. Keep vigilant. Wear masks in crowds. Avoid crowds if you can.… https://t.co/yVG8SYBSYp,North Carolina
#italy #masks #coronavirus #stayhome #peace @ Downtown Orlando https://t.co/n3YYOVxP4d,Florida
"Tool Library To-Go is officially a wrap! Thanks to our volunteers, members, and supporters for helping us navigate the pandemic and continue to serve and support the WNY community through shared tools and resources.… https://t.co/LI99q38HRU",New York
"On Monday, the National Bureau of Economic Research (NBER) announced that the U.S. economy is officially in a recession. This did not come as a surprise to many. Everyone realizes that the pandemic shut down the… https://t.co/9PlVs4REW1",Colorado
"Week #12 Pandemic chronicles! Big shout-out to 
Madan carvajuca and Meenakshi @shiftnow2012 and all of our fans for coming by to get food from us yesterday. We’re so grateful for your support!
🙏
🙏
🙏
* * * * * * * *… https://t.co/ub018Z2ZUN",California
"My fav place outside Boston-deserted, quiet, such different energy during #covid19 ""New normal"" will bring many changes...an opportunity to create something amazing.  
  #beach #nantasketbeach #tranquility #deserted #socialdistancing #quarantinelife  #photography #minimalism https://t.co/P7TW1Do5CT",Massachusetts
