,tweet,tweet,location,Unnamed: 0.1,Confirmed
206,4yr old fetched beer it ' good day 'll remember forever happy easter easter2020 victoriasway corona quarantine badstreet philadelphia pa,,,,
207,incident 7line 103rd street corona plaza station 42nd street time square station,,,,
208,incident 7line 103rd street corona plaza station 42nd street time square station,,,,
209,incident 7line 103rd street corona plaza station 42nd street time square station,,,,
210,corona ny sun apr 12th forecast today cloudy hi forty-five tonight partly cloudy lo thirty-one,,,,
211,happy easter everyone easter happyeaster quarantine corona virus abnormalattraction comedy getfuzzy stayhome staysafe bobbypriv leavs16 new york new york,,,,
212,went bit walk million podcasts flushing meadow corona park,,,,
213,fresh air park artmuseum corona art covid nineteen outside staysafe nassau county museum art,,,,
214,visiting usp alcatraz bought harmonica knowing entertain son much keepinghimbusy uspalcatraz harmonica corona new york,,,,
215,corona ny sun apr 12th pm forecast tonight partly cloudy lo thirty-one saturday sunny hi forty-one,,,,
216,goodbye twenty-one wow happy 22nd birthday ryan coronabeer lunch home best corona still delivering delicious food is dessert actually food manhattan love you manhattan new york,,,,
217,corona girl westminster massachusetts,,,,
218,easter breakfast quarantine corona easter indian fishin ' lake,,,,
219,bringing outdoors inside since know corona happyeaster corona forsythia hyacinth flower flowersinstagram lincoln rhode island,,,,
220,sign time corona coronavirus mask bikeride denver colorado cherry creek trail,,,,
221,two thousand and twenty easter got like happy easter friend better time ahead covid19 corona quarantinelife quarantined ormond beach florida,,,,
222,adventure corona donkey easter two thousand and twenty boxcrafts corona stayhome easter fort lauderdale florida,,,,
223,four twelve two thousand and twenty jesus paid all owe happy corona easter family yours mount dora florida,,,,
224,easter two thousand and twenty mahi tuna brussel sprout wine corona parkland florida,,,,
